step,GS_21441737_queue,GS_21441737_wait_time,GS_25954547_queue,GS_25954547_wait_time,GS_26752062_queue,GS_26752062_wait_time,GS_26753059_queue,GS_26753059_wait_time,GS_659394041_queue,GS_659394041_wait_time,cluster_262476527_26871569_311718989_3836987635_#3more_queue,cluster_262476527_26871569_311718989_3836987635_#3more_wait_time
117,1,4.0,0,0.0,0,0.0,1,8.0,0,0.0,0,0.0
118,1,5.0,0,0.0,0,0.0,1,9.0,0,0.0,0,0.0
119,1,6.0,0,0.0,0,0.0,1,10.0,0,0.0,0,0.0
120,1,1.0,0,0.0,0,0.0,1,11.0,0,0.0,0,0.0
121,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
123,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
124,2,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
125,2,8.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126,2,10.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
127,2,12.0,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0
128,2,14.0,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0
129,2,16.0,0,0.0,0,0.0,0,0.0,1,4.0,2,2.0
130,2,18.0,0,0.0,0,0.0,0,0.0,1,5.0,2,4.0
131,3,21.0,0,0.0,0,0.0,1,1.0,1,6.0,2,6.0
132,3,24.0,0,0.0,0,0.0,1,2.0,1,7.0,2,8.0
133,3,27.0,0,0.0,0,0.0,1,3.0,2,8.0,2,10.0
134,3,30.0,0,0.0,0,0.0,1,4.0,1,9.0,2,12.0
135,3,33.0,0,0.0,0,0.0,1,5.0,1,10.0,2,14.0
136,1,6.0,0,0.0,0,0.0,1,6.0,0,0.0,0,0.0
137,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
138,1,8.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
139,1,9.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
140,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
141,1,11.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
142,1,12.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
143,1,13.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0
144,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0
145,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0
146,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0
147,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.0
148,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.0
149,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.0
150,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.0
151,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0
152,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.0
153,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.0
154,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,13.0
155,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.0
156,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,2,16.0
157,0,0.0,0,0.0,0,0.0,1,2.0,1,1.0,2,18.0
158,0,0.0,0,0.0,0,0.0,1,3.0,1,2.0,0,0.0
159,0,0.0,0,0.0,0,0.0,1,4.0,1,3.0,0,0.0
160,0,0.0,0,0.0,0,0.0,1,5.0,1,4.0,0,0.0
161,0,0.0,0,0.0,0,0.0,2,7.0,1,5.0,0,0.0
162,0,0.0,0,0.0,0,0.0,2,9.0,1,6.0,0,0.0
163,0,0.0,0,0.0,0,0.0,2,11.0,0,0.0,0,0.0
164,0,0.0,0,0.0,0,0.0,2,13.0,0,0.0,0,0.0
165,0,0.0,0,0.0,0,0.0,2,15.0,0,0.0,0,0.0
166,0,0.0,0,0.0,0,0.0,2,17.0,0,0.0,0,0.0
167,0,0.0,0,0.0,0,0.0,2,19.0,0,0.0,0,0.0
168,0,0.0,0,0.0,0,0.0,2,21.0,0,0.0,0,0.0
169,0,0.0,0,0.0,0,0.0,2,23.0,0,0.0,0,0.0
170,0,0.0,0,0.0,0,0.0,2,25.0,0,0.0,0,0.0
171,0,0.0,0,0.0,0,0.0,2,27.0,0,0.0,1,1.0
172,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.0
173,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5.0
174,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.0
175,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,10.0
176,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,14.0
177,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,12.0
178,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,15.0
179,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,4,18.0
180,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0,4,21.0
181,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0,4,24.0
182,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,4,27.0
183,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,4,30.0
184,0,0.0,0,0.0,0,0.0,1,6.0,0,0.0,4,33.0
185,0,0.0,0,0.0,0,0.0,1,7.0,0,0.0,4,36.0
186,0,0.0,0,0.0,0,0.0,1,8.0,0,0.0,4,39.0
187,0,0.0,0,0.0,0,0.0,1,9.0,0,0.0,4,42.0
188,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,45.0
189,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,4,48.0
190,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,5,51.0
191,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,5,54.0
192,2,5.0,0,0.0,0,0.0,0,0.0,0,0.0,5,57.0
193,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,5,60.0
194,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,64.0
195,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,68.0
196,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,70.0
197,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,24.0
198,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0
199,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0
200,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.0
201,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.0
202,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.0
203,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.0
204,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,15.0
205,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,2,17.0
206,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0,2,19.0
207,0,0.0,0,0.0,0,0.0,2,4.0,0,0.0,2,21.0
208,0,0.0,0,0.0,0,0.0,2,6.0,0,0.0,2,23.0
209,0,0.0,0,0.0,0,0.0,2,8.0,0,0.0,2,25.0
210,0,0.0,0,0.0,0,0.0,2,10.0,0,0.0,2,27.0
211,0,0.0,0,0.0,0,0.0,2,12.0,0,0.0,2,29.0
212,0,0.0,0,0.0,0,0.0,1,6.0,0,0.0,2,31.0
213,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.0
214,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,35.0
215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,37.0
216,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,39.0
